full_name,rating,jersey,team,position,b_day,height (m),weight (lbs),salary,country,draft_year,draft_round,draft_peak,college
Mario Hezonja,75,#44,Portland Trail Blazers,F-G,2/25/95,2.03,201,1737145.00,Croatia,2015,1,5,
George Hill,75,#3,Milwaukee Bucks,G,5/4/86,1.91,180,10133907.00,USA,2008,1,26,IUPUI
Rondae Hollis-Jefferson,75,#4,Toronto Raptors,F,1/3/95,1.98,211,2500000.00,USA,2015,1,23,Arizona
Richaun Holmes,75,#22,Sacramento Kings,F,10/15/93,2.08,243,4767000.00,USA,2015,2,37,Bowling Green
James Johnson,75,#0,Minnesota Timberwolves,F,2/20/87,2.01,245,15349400.00,USA,2009,1,16,Wake Forest
Luke Kennard,75,#5,Detroit Pistons,G,6/24/96,1.96,196,3827160.00,USA,2017,1,12,Duke
Kyle Korver,75,#26,Milwaukee Bucks,F,3/17/81,2.01,212,6004753.00,USA,2003,2,51,Creighton
Rodions Kurucs,75,#0,Brooklyn Nets,F,2/5/98,2.06,215,1699236.00,Latvia,2018,2,40,
Jake Layman,75,#10,Minnesota Timberwolves,F,3/7/94,2.03,209,3581986.00,USA,2016,2,47,Maryland
Robin Lopez,75,#42,Milwaukee Bucks,C,4/1/88,2.13,255,4767000.00,USA,2008,1,15,Stanford
Trey Lyles,75,#41,San Antonio Spurs,F,11/5/95,2.06,241,5500000.00,Canada,2015,1,12,Kentucky
Boban Marjanovic,75,#51,Dallas Mavericks,C,8/15/88,2.24,290,3500000.00,Serbia,2010,Undrafted,Undrafted,
TJ McConnell,75,#9,Indiana Pacers,G,3/25/92,1.85,200,3500000.00,USA,2015,Undrafted,Undrafted,Arizona
Patrick Mills,75,#8,San Antonio Spurs,G,8/11/88,1.85,185,12678571.00,Australia,2009,2,55,Saint Mary's
Malik Monk,75,#1,Charlotte Hornets,G,2/4/98,1.91,197,4028400.00,USA,2017,1,11,Kentucky
Markieff Morris,75,#88,Los Angeles Lakers,F,9/2/89,2.03,245,3709887.00,USA,2011,1,13,Kansas
Shabazz Napier,75,#0,Washington Wizards,G,7/14/91,1.83,175,1845301.00,USA,2014,1,24,UConn
Cedi Osman,75,#16,Cleveland Cavaliers,F-G,4/8/95,2.01,215,2907143.00,Turkey,2015,2,31,
Tomas Satoransky,75,#31,Chicago Bulls,G,10/30/91,2.01,198,10000000.00,Czech,2012,2,32,
Mike Scott,75,#1,Philadelphia 76ers,F,7/16/88,2.01,237,4767000.00,USA,2012,2,43,Virginia
Noah Vonleh,75,#0,Denver Nuggets,F,8/24/95,2.08,247,2000000.00,USA,2014,1,9,Indiana
Allonzo Trier,75,#0,,G-F,1/17/96,1.93,200,3551100.00,USA,2018,Undrafted,Undrafted,Arizona
Juan Hernangomez,74,#41,Minnesota Timberwolves,F,9/28/95,2.06,220,3321029.00,Spain,2016,1,15,
Kyle Anderson,74,#1,Memphis Grizzlies,F,9/20/93,2.06,230,9073050.00,USA,2014,1,30,UCLA
Jordan Bell,74,#0,Cleveland Cavaliers,F-C,1/7/95,2.03,224,1870564.00,USA,2017,2,38,Oregon
Khem Birch,74,#24,Orlando Magic,C,9/28/92,2.06,209,3000000.00,Canada,2014,Undrafted,Undrafted,UNLV
Dillon Brooks,74,#24,Memphis Grizzlies,G-F,1/22/96,2.01,225,1618520.00,Canada,2017,2,45,Oregon
Reggie Bullock,74,#25,New York Knicks,G,3/16/91,1.98,200,4000000.00,USA,2013,1,25,North Carolina
Zach Collins,74,#33,Portland Trail Blazers,C,11/17/97,2.11,232,4240200.00,USA,2017,1,10,Gonzaga
Pat Connaughton,74,#24,Milwaukee Bucks,G,1/6/93,1.96,215,1723050.00,USA,2015,2,41,Notre Dame
Quinn Cook,74,#2,Los Angeles Lakers,G,3/23/93,1.85,180,3000000.00,USA,2015,Undrafted,Undrafted,Duke
Torrey Craig,74,#3,Denver Nuggets,G,12/19/90,2.01,215,2000000.00,USA,2014,Undrafted,Undrafted,USC Upstate
Seth Curry,74,#30,Dallas Mavericks,G,8/23/90,1.88,180,7461380.00,USA,2013,Undrafted,Undrafted,Duke
Cheick Diallo,74,#14,Phoenix Suns,F-C,9/13/96,2.03,219,1678854.00,Mali,2016,2,33,Kansas
Yogi Ferrell,74,#3,Sacramento Kings,G,5/9/93,1.83,178,3150000.00,USA,2016,Undrafted,Undrafted,Indiana
Markelle Fultz,74,#20,Orlando Magic,G,5/29/98,1.91,195,9745200.00,USA,2017,1,1,Washington
Harry Giles,74,#20,Sacramento Kings,F-C,4/22/98,2.11,232,2578800.00,USA,2017,1,20,Duke
Moe Harkless,74,#0,New York Knicks,F,5/11/93,2.01,208,11011234.00,USA,2012,1,15,St. John's
Justin Jackson,74,#44,Dallas Mavericks,F-G,3/28/95,2.01,201,3280920.00,USA,2017,1,15,North Carolina
Tyler Johnson,74,#0,Brooklyn Nets,G,5/7/92,1.91,186,19428485.00,USA,2014,Undrafted,Undrafted,Fresno State
Derrick Jones,74,#5,Miami Heat,F,2/15/97,1.98,195,1645357.00,USA,2016,Undrafted,Undrafted,UNLV
Cory Joseph,74,#9,Sacramento Kings,G,8/20/91,1.91,185,12000000.00,Canada,2011,1,29,Texas
Maxi Kleber,74,#42,Dallas Mavericks,F-C,1/29/92,2.08,211,8000000.00,Germany,2014,Undrafted,Undrafted,
TJ Leaf,74,#22,Indiana Pacers,F-C,4/30/97,2.08,222,2813280.00,Israel,2017,1,18,UCLA
Doug McDermott,74,#20,Indiana Pacers,F,1/3/92,2.01,218,7333333.00,USA,2014,1,11,Creighton
E'Twaun Moore,74,#55,New Orleans Pelicans,G,2/25/89,1.91,191,8664928.00,USA,2011,2,55,Purdue
Joakim Noah,74,#0,Los Angeles Clippers,C,2/25/85,2.11,227,6813026.00,USA,2007,1,9,Florida
Kyle O'Quinn,74,#9,Philadelphia 76ers,F-C,3/26/90,2.06,240,2174318.00,USA,2012,2,49,Norfolk State
Chandler Parsons,74,#0,,F,10/25/88,2.06,200,25102512.00,USA,2011,2,38,Florida
Norman Powell,74,#24,Toronto Raptors,G,5/25/93,1.91,215,10116576.00,USA,2015,2,46,UCLA
Ivan Rabb,74,#0,,F-C,2/4/97,2.08,220,451326.00,USA,2017,2,35,California
Glenn Robinson III,74,#22,Golden State Warriors,F,1/8/94,1.98,211,1882867.00,USA,2014,2,40,Michigan
Denzel Valentine,74,#45,Chicago Bulls,G,11/16/93,1.93,210,3377568.00,USA,2016,1,14,Michigan State
Robert Williams,74,#44,Boston Celtics,F-C,10/17/97,2.03,237,1937520.00,USA,2018,1,27,Texas A&M
Christian Wood,74,#35,Detroit Pistons,F,9/27/95,2.08,216,1645357.00,USA,2015,Undrafted,Undrafted,UNLV
Jaxson Hayes,74,#10,New Orleans Pelicans,F-C,5/23/00,2.11,220,4862040.00,USA,2019,1,8,Texas
Rui Hachimura,74,#8,Washington Wizards,F,2/8/98,2.03,225,4469160.00,Japan,2019,1,9,Gonzaga
OG Anunoby,73,#3,Toronto Raptors,F-G,7/17/97,2.01,232,2281800.00,United Kingdom,2017,1,23,Indiana
Dwayne Bacon,73,#7,Charlotte Hornets,G,8/30/95,1.98,220,1618520.00,USA,2017,2,40,Florida State
DeAndre Bembry,73,#95,Atlanta Hawks,F,7/4/94,1.96,207,2603981.00,USA,2016,1,21,Saint Joseph's
Jonah Bolden,73,#0,Phoenix Suns,F,1/2/96,2.03,215,1788296.00,Australia,2017,2,36,UCLA
Sterling Brown,73,#23,Milwaukee Bucks,G,2/10/95,1.96,230,1618520.00,USA,2017,2,46,SMU
Bruce Brown,73,#6,Detroit Pistons,G,8/15/96,1.93,190,1416852.00,USA,2018,2,42,Miami (Florida)
Troy Brown,73,#6,Washington Wizards,F-G,7/28/99,1.98,215,3219480.00,USA,2018,1,15,Oregon
Alec Burks,73,#0,Philadelphia 76ers,G,7/20/91,1.98,195,2320044.00,USA,2011,1,12,Colorado
Alex Caruso,73,#4,Los Angeles Lakers,G,2/28/94,1.96,186,2750000.00,USA,2016,Undrafted,Undrafted,Texas A&M
Tyson Chandler,73,#19,Houston Rockets,C,10/2/82,2.13,235,2564753.00,USA,2001,1,2,
Allen Crabbe,73,#0,,G-F,4/9/92,1.96,197,17818456.00,USA,2013,2,31,California
Matthew Dellavedova,73,#18,Cleveland Cavaliers,G,9/8/90,1.91,190,9607500.00,Australia,2013,Undrafted,Undrafted,Saint Mary's
James Ennis,73,#0,Orlando Magic,F,7/1/90,1.98,201,1882867.00,USA,2013,2,50,Long Beach State
Dorian Finney-Smith,73,#10,Dallas Mavericks,F,5/4/93,2.01,213,4000000.00,USA,2016,Undrafted,Undrafted,Florida
Shaquille Harrison,73,#3,Chicago Bulls,G,10/6/93,2.01,190,1620564.00,USA,2016,Undrafted,Undrafted,Tulsa
Aaron Holiday,73,#3,Indiana Pacers,G,9/30/96,1.83,185,2239200.00,USA,2018,1,23,UCLA
Danuel House,73,#4,Houston Rockets,F,6/7/93,1.98,220,3540000.00,USA,2016,Undrafted,Undrafted,Texas A&M
Stanley Johnson,73,#5,Toronto Raptors,F,5/29/96,1.98,242,3623000.00,USA,2015,1,8,Arizona
Tyus Jones,73,#21,Memphis Grizzlies,G,5/10/96,1.83,185,10116000.00,USA,2015,1,24,Duke
Furkan Korkmaz,73,#30,Philadelphia 76ers,F,6/27/97,2.01,185,1620564.00,Turkey,2016,1,26,
Ian Mahinmi,73,#28,Washington Wizards,C,11/5/86,2.11,230,15450051.00,France,2005,1,28,
CJ Miles,73,#0,,G-F,3/18/87,1.98,232,8730158.00,USA,2005,2,34,
Mike Muscala,73,#33,Oklahoma City Thunder,F-C,7/1/91,2.08,230,2028594.00,USA,2013,2,44,Bucknell
Frank Ntilikina,73,#11,New York Knicks,G,7/28/98,1.93,190,4855800.00,France,2017,1,8,
David Nwaba,73,#0,Houston Rockets,G,1/14/93,1.96,210,2581965.00,USA,2016,Undrafted,Undrafted,Cal Poly
Royce O'Neale,73,#23,Utah Jazz,F,6/5/93,1.93,226,1618520.00,USA,2015,Undrafted,Undrafted,Baylor
Semi Ojeleye,73,#37,Boston Celtics,F,12/5/94,1.98,235,1618520.00,USA,2017,2,37,SMU
Josh Okogie,73,#20,Minnesota Timberwolves,G,9/1/98,1.93,213,2530680.00,Nigeria,2018,1,20,Georgia Tech
Jonathon Simmons,73,#0,,G-F,9/14/89,1.98,195,1000000.00,USA,2012,Undrafted,Undrafted,Houston
Ishmael Smith,73,#14,Washington Wizards,G,7/5/88,1.83,175,6000000.00,USA,2010,Undrafted,Undrafted,Wake Forest
Tony Snell,73,#17,Detroit Pistons,F,11/10/91,1.98,198,11392857.00,USA,2013,1,20,New Mexico
Omari Spellman,73,#0,Minnesota Timberwolves,F,7/21/97,2.03,245,1897800.00,USA,2018,1,30,Villanova
Garrett Temple,73,#17,Brooklyn Nets,G-F,5/8/86,1.96,195,4767000.00,USA,2009,Undrafted,Undrafted,LSU
Evan Turner,73,#1,Minnesota Timberwolves,G-F,10/27/88,1.98,205,18606556.00,USA,2010,1,2,Ohio State
Lonnie Walker,73,#1,San Antonio Spurs,G,12/14/98,1.96,204,2764200.00,USA,2018,1,18,Miami (Florida)
Brad Wanamaker,73,#9,Boston Celtics,G,7/25/89,1.91,210,1445697.00,USA,2011,Undrafted,Undrafted,Pittsburgh
Ante Zizic,73,#41,Cleveland Cavaliers,C,1/4/97,2.08,250,2281800.00,Croatia,2016,1,23,
Tyler Herro,73,#14,Miami Heat,G,1/20/00,1.96,195,3640200.00,USA,2019,1,13,Kentucky
Vincent Poirier,73,#77,Boston Celtics,C,10/17/93,2.13,235,2505793.00,France,2015,Undrafted,Undrafted,
Sekou Doumbouya,73,#45,Detroit Pistons,F,12/23/00,2.03,209,3285120.00,France,2019,1,15,
Brandon Clarke,73,#15,Memphis Grizzlies,F,9/19/96,2.03,215,2478840.00,Canada,2019,1,21,Gonzaga
Nicolo Melli,73,#20,New Orleans Pelicans,F,1/26/91,2.06,236,4102564.00,Italy,2013,Undrafted,Undrafted,
Nassir Little,73,#9,Portland Trail Blazers,F,2/11/00,1.96,220,2105520.00,USA,2019,1,25,North Carolina
Grayson Allen,72,#3,Memphis Grizzlies,G,10/8/95,1.93,205,2429400.00,USA,2018,1,21,Duke
Antonio Blakeney,72,#0,,G-F,10/4/96,1.93,197,1488231.00,USA,2017,Undrafted,Undrafted,LSU
Michael Carter-Williams,72,#7,Orlando Magic,G,10/10/91,1.96,184,2028594.00,USA,2013,1,11,Syracuse
Troy Daniels,72,#30,Denver Nuggets,G,7/15/91,1.93,200,2487033.00,USA,2013,Undrafted,Undrafted,VCU
Donte DiVincenzo,72,#0,Milwaukee Bucks,G,1/31/97,1.93,205,2905800.00,USA,2018,1,17,Villanova
Jared Dudley,72,#10,Los Angeles Lakers,F,7/10/85,1.98,225,2564753.00,USA,2007,1,22,Boston College
Cristiano Felicio,72,#6,Chicago Bulls,F,7/7/92,2.08,270,8156500.00,Brazil,2014,Undrafted,Undrafted,
Tim Frazier,72,#0,,G,11/1/90,1.83,170,1620564.00,USA,2014,Undrafted,Undrafted,Penn State
Langston Galloway,72,#9,Detroit Pistons,G,12/9/91,1.85,202,7333333.00,USA,2014,Undrafted,Undrafted,Saint Joseph's
Justin Holiday,72,#8,Indiana Pacers,G,4/5/89,1.98,180,4767000.00,USA,2011,Undrafted,Undrafted,Washington
Chandler Hutchison,72,#15,Chicago Bulls,F,4/26/96,2.01,196,2332320.00,USA,2018,1,22,Boise State
Wesley Iwundu,72,#25,Orlando Magic,F,12/20/94,1.98,205,1618520.00,USA,2017,2,33,Kansas State
Brandon Knight,72,#0,Detroit Pistons,G,12/2/91,1.88,189,15643750.00,USA,2011,1,8,Kentucky
Courtney Lee,72,#1,Dallas Mavericks,G-F,10/3/85,1.96,200,12759670.00,USA,2008,1,22,Western Kentucky
Thon Maker,72,#7,Detroit Pistons,F-C,2/25/97,2.13,216,3569643.00,Australia,2016,1,10,
Patrick McCaw,72,#22,Toronto Raptors,G,10/25/95,2.01,181,4000000.00,USA,2016,2,38,UNLV
Rodney McGruder,72,#19,Los Angeles Clippers,G,7/29/91,1.93,205,4807693.00,USA,2013,Undrafted,Undrafted,Kansas State
Darius Miller,72,#21,New Orleans Pelicans,F,3/21/90,1.98,225,7250000.00,USA,2012,2,46,Kentucky
Raul Neto,72,#19,Philadelphia 76ers,G,5/19/92,1.85,170,1737145.00,Brazil,2013,2,47,
Georges Niang,72,#31,Utah Jazz,F,6/17/93,2.01,230,1645357.00,USA,2016,2,50,Iowa State
Cameron Payne,72,#0,Phoenix Suns,G,8/8/94,1.88,180,346288.00,USA,2015,1,14,Murray State
Anfernee Simons,72,#1,Portland Trail Blazers,G,6/8/99,1.91,181,2149560.00,USA,2018,1,24,
Zhaire Smith,72,#8,Philadelphia 76ers,G-F,6/4/99,1.91,205,3058800.00,USA,2018,1,16,Texas Tech
Anthony Tolliver,72,#0,Memphis Grizzlies,F,6/1/85,2.03,240,2854556.00,USA,2007,Undrafted,Undrafted,Creighton
DJ Wilson,72,#5,Milwaukee Bucks,F,2/19/96,2.08,234,2961120.00,USA,2017,1,17,Michigan
Alfonzo McKinnie,72,#0,Cleveland Cavaliers,F,9/17/92,2.03,215,2391985.00,USA,2015,Undrafted,Undrafted,Green Bay
Romeo Langford,72,#45,Boston Celtics,G,10/25/99,1.93,216,3458400.00,USA,2019,1,14,Indiana
Grant Williams,72,#12,Boston Celtics,F,11/30/98,1.98,236,2379840.00,USA,2019,1,22,Tennessee
Nicolas Claxton,72,#0,Brooklyn Nets,C,4/17/90,2.11,215,898310.00,USA,2019,2,31,Georgia
PJ Washington,72,#25,Charlotte Hornets,F,8/23/98,2.01,225,3831840.00,USA,2019,1,12,Kentucky
Ryan Arcidiacono,72,#51,Chicago Bulls,G,3/26/94,1.91,195,3000000.00,Italy,2016,Undrafted,Undrafted,Villanova
Kevin Porter,72,#4,Cleveland Cavaliers,G-F,5/4/00,1.93,218,1290960.00,USA,2019,1,30,USC
Ryan Broekhoff,72,#0,Philadelphia 76ers,F,8/23/90,1.98,215,2833704.00,Australia,2013,Undrafted,Undrafted,Valparaiso
Goga Bitadze,72,#88,Indiana Pacers,C,7/20/99,2.11,250,2816760.00,Georgia,2019,1,18,
De'Anthony Melton,72,#0,Memphis Grizzlies,G,5/28/98,1.88,190,1416852.00,USA,2018,2,46,USC
Kenrich Williams,72,#34,New Orleans Pelicans,G-F,12/2/94,1.98,210,1416852.00,USA,2018,Undrafted,Undrafted,TCU
Nickeil Alexander-Walker,72,#0,New Orleans Pelicans,G,9/2/98,1.96,205,2964840.00,Canada,2019,1,17,Virginia Tech
Chuma Okeke,72,#3,,F-C,8/18/98,2.03,230,2773550.00,USA,2019,1,16,Auburn
Matisse Thybulle,72,#22,Philadelphia 76ers,G-F,3/4/97,1.96,201,2582160.00,USA,2019,1,20,Washington
Cameron Johnson,72,#23,Phoenix Suns,F,3/3/96,2.03,210,4033440.00,USA,2019,1,11,North Carolina
Ty Jerome,72,#10,Phoenix Suns,G,7/8/97,1.96,195,2193480.00,USA,2019,1,24,Virginia
Luka Samanic,72,#19,San Antonio Spurs,F,1/9/00,2.08,209,2689920.00,Croatia,2019,1,19,
Keldon Johnson,72,#3,San Antonio Spurs,F,10/11/99,1.96,211,1950600.00,USA,2019,1,29,Kentucky
Matt Thomas,72,#21,Toronto Raptors,G,8/4/94,1.93,197,898310.00,USA,2017,Undrafted,Undrafted,Iowa State
Chris Boucher,71,#25,Toronto Raptors,F-C,1/11/93,2.06,200,1588231.00,Canada,2017,Undrafted,Undrafted,Oregon
Jevon Carter,71,#4,Phoenix Suns,G,9/14/95,1.85,200,1416852.00,USA,2018,2,32,West Virginia
Deyonta Davis,71,#0,,F-C,12/2/96,2.08,240,250000.00,USA,2016,2,31,Michigan State
Jacob Evans,71,#0,Minnesota Timberwolves,G,6/18/97,1.93,210,1925880.00,USA,2018,1,28,Cincinnati
Terrance Ferguson,71,#23,Oklahoma City Thunder,G,5/17/98,1.98,184,2475840.00,USA,2017,1,21,
Daniel Gafford,71,#12,Chicago Bulls,F,10/1/98,2.08,234,898310.00,USA,2019,2,38,Arkansas
Treveon Graham,71,#12,Atlanta Hawks,G,10/28/93,1.96,219,1645357.00,USA,2015,Undrafted,Undrafted,VCU
Frank Jackson,71,#15,New Orleans Pelicans,G,5/4/98,1.91,205,1618520.00,USA,2017,2,31,Duke
Luke Kornet,71,#2,Chicago Bulls,C,7/15/95,2.18,240,2250000.00,USA,2017,Undrafted,Undrafted,Vanderbilt
Frank Mason,71,#15,Milwaukee Bucks,G,4/13/94,1.80,190,79568.00,USA,2017,2,34,Kansas
Ben McLemore,71,#16,Houston Rockets,G,2/11/93,1.91,189,2028594.00,USA,2013,1,7,Kansas
Dzanan Musa,71,#13,Brooklyn Nets,F,5/8/99,2.06,195,1911600.00,Bosnia and Herzegovina,2018,1,29,
Elie Okobo,71,#2,Phoenix Suns,G,10/23/97,1.91,190,1416852.00,France,2018,2,31,
Jerome Robinson,71,#1,Washington Wizards,G,2/22/97,1.93,190,3567720.00,USA,2018,1,13,Boston College
JaKarr Sampson,71,#14,Indiana Pacers,F,3/20/93,2.01,223,1737145.00,USA,2014,Undrafted,Undrafted,St. John's
Edmond Sumner,71,#5,Indiana Pacers,G,12/13/95,1.93,186,2000000.00,USA,2017,2,52,Xavier
Gary Trent Jr,71,#2,Portland Trail Blazers,G,1/18/99,1.96,209,1416852.00,USA,2018,2,37,Duke
Moritz Wagner,71,#21,Washington Wizards,F,4/26/97,2.11,240,2063520.00,Germany,2018,1,25,Michigan
Admiral Schofield,71,#1,Washington Wizards,F,3/30/97,1.96,241,1000000.00,USA,2019,2,42,Tennessee
Bruno Fernando,71,#24,Atlanta Hawks,F,8/15/98,2.06,245,1400000.00,Angola,2019,2,34,Maryland
Alen Smailagic,71,#6,Golden State Warriors,F,8/18/00,2.08,215,898310.00,Serbia,2019,2,39,
Eric Paschall,71,#7,Golden State Warriors,F,11/4/96,1.98,255,898310.00,USA,2019,2,41,Villanova
Carsen Edwards,71,#4,Boston Celtics,G,3/12/98,1.80,200,1228026.00,USA,2019,2,33,Purdue
KZ Okpala,71,#4,Miami Heat,F,4/28/99,2.03,215,898310.00,USA,2019,2,32,Stanford
Shake Milton,71,#18,Philadelphia 76ers,C,9/26/96,1.96,205,1445697.00,USA,2018,2,54,SMU
Chimezie Metu,71,#7,San Antonio Spurs,F,3/22/97,2.06,225,1416852.00,Nigeria,2018,2,49,USC
Keita Bates-Diop,70,#0,Denver Nuggets,F,1/23/96,2.03,235,1416852.00,USA,2018,2,48,Ohio State
Darius Bazley,70,#7,Oklahoma City Thunder,F,6/12/00,2.03,200,2284800.00,USA,2019,1,23,
Tony Bradley,70,#13,Utah Jazz,F-C,1/8/98,2.08,248,1962360.00,USA,2017,1,28,North Carolina
Hamidou Diallo,70,#6,Oklahoma City Thunder,G,7/31/98,1.96,198,1416852.00,USA,2018,2,45,Kentucky
Melvin Frazier,70,#35,Orlando Magic,F,8/30/96,1.96,201,1416852.00,USA,2018,2,35,Tulane
Solomon Hill,70,#44,Miami Heat,F,3/18/91,1.98,226,13290395.00,USA,2013,1,23,Arizona
Alize Johnson,70,#24,Indiana Pacers,F,4/26/96,2.01,201,1416852.00,USA,2018,2,50,Missouri State
Skal Labissiere,70,#0,Atlanta Hawks,C-F,3/18/96,2.08,216,2338846.00,Haiti,2016,1,28,Kentucky
Tyler Lydon,70,#0,,F-C,4/9/96,2.06,220,50000.00,USA,2017,1,24,Syracuse
Sviatoslav Mykhailiuk,70,#19,Detroit Pistons,G,6/10/97,2.01,205,1416852.00,Ukraine,2018,2,47,Kansas
Johnathan Motley,70,#15,Los Angeles Clippers,F,5/4/95,2.03,230,79568.00,USA,2017,Undrafted,Undrafted,Baylor
Abdel Nader,70,#11,Oklahoma City Thunder,F,9/25/93,1.96,225,1618520.00,Egypt,2016,2,58,Iowa State
Miles Plumlee,70,#0,,F-C,9/1/88,2.11,255,12500000.00,USA,2012,1,26,Duke
Caleb Swanigan,70,#50,Portland Trail Blazers,C,4/18/97,2.06,249,2033160.00,USA,2017,1,26,Purdue
Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,4/3/99,2.06,214,1416852.00,USA,2018,2,41,Kentucky
Jemerrio Jones,70,#0,,F,4/9/95,1.96,201,195077.00,USA,2018,Undrafted,Undrafted,New Mexico State
Jordan Poole,70,#3,Golden State Warriors,G,6/19/99,1.93,194,1964760.00,USA,2019,1,28,Michigan
Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,11/20/00,1.93,234,898310.00,USA,2019,2,46,Iowa State
Yante Maten,70,#0,,F-C,8/14/96,2.03,240,100000.00,USA,2018,Undrafted,Undrafted,Georgia
Thanasis Antetokounmpo,70,#43,Milwaukee Bucks,F,7/18/92,1.98,215,1445697.00,Greece,2014,2,51,
Naz Reid,70,#11,Minnesota Timberwolves,C,8/26/99,2.06,249,898310.00,USA,2019,Undrafted,Undrafted,LSU
Ignas Brazdeikis,70,#17,New York Knicks,F,1/8/99,1.98,216,898310.00,Canada,2019,2,47,Michigan
Deonte Burton,70,#30,Oklahoma City Thunder,G,6/26/91,1.93,240,1416852.00,USA,2014,Undrafted,Undrafted,Iowa State
Justin James,70,#10,Sacramento Kings,G,1/24/97,2.01,190,898310.00,USA,2019,2,40,Wyoming
Henry Ellenson,69,#0,,F-C,1/13/97,2.08,242,79568.00,USA,2016,1,18,Marquette
Devonte Graham,69,#0,Charlotte Hornets,G,2/22/95,1.85,185,1416852.00,USA,2018,2,34,Kansas
Amile Jefferson,69,#0,,F-C,5/7/93,2.06,224,1529007.00,USA,2017,Undrafted,Undrafted,Duke
Khyri Thomas,69,#13,Detroit Pistons,G,5/8/96,1.91,210,1416852.00,USA,2018,2,38,Creighton
Theo Pinson,69,#0,New York Knicks,G,11/5/95,1.96,220,1445697.00,USA,2018,Undrafted,Undrafted,North Carolina
Gary Clark,69,#0,Orlando Magic,F,11/16/94,1.98,225,1427191.00,USA,2018,Undrafted,Undrafted,Cincinnati
Terance Mann,69,#14,Los Angeles Clippers,G,10/18/96,1.96,215,1000000.00,USA,2019,2,48,Florida State
Cam Reynolds,69,#13,Milwaukee Bucks,G,2/7/95,2.01,225,79568.00,USA,2018,Undrafted,Undrafted,Tulane
Tyrone Wallace,69,#0,,G-F,6/10/94,1.96,200,502491.00,USA,2016,2,60,California
Miye Oni,69,#24,Utah Jazz,F,8/4/97,1.96,210,898310.00,USA,2019,2,58,Yale
Malcolm Miller,69,#13,Toronto Raptors,F,3/6/93,2.01,205,1588231.00,USA,2015,Undrafted,Undrafted,Holy Cross
Isaac Bonga,68,#17,Washington Wizards,G,11/8/99,2.03,200,1416852.00,Germany,2018,2,39,
Isaiah Hartenstein,68,#0,,F-C,5/5/98,2.13,250,1416852.00,Germany,2017,2,43,
Jordan McRae,68,#0,Detroit Pistons,G,3/28/91,1.96,179,1254933.00,USA,2014,2,58,Tennessee
Brandon Goodwin,68,#0,Atlanta Hawks,G,10/2/95,1.83,180,522738.00,USA,2018,Undrafted,Undrafted,Florida Gulf Coast
Michael Frazier,68,#21,Houston Rockets,G,3/8/94,1.91,200,79568.00,USA,2015,2,60,Florida
Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/97,2.08,200,79568.00,Greece,2018,Undrafted,Undrafted,Dayton
Jalen Lecque,68,#0,Phoenix Suns,G,6/13/00,1.91,190,898310.00,USA,2019,Undrafted,Undrafted,
Duncan Robinson,67,#55,Miami Heat,F,4/22/94,2.01,215,1416852.00,USA,2018,Undrafted,Undrafted,Michigan